,Variable Name,Variable Description,Data File Name,Data File Description,Begin Year,EndYear,Component,Use Constraints
0,DID040,How old {was SP/were you} when a doctor or other health professional first told {you/him/her} that {you/he/she} had diabetes or sugar diabetes?,P_DIQ,Diabetes,2017,2020,Questionnaire,None
1,DID060,For how long {have you/has SP} been taking insulin?,P_DIQ,Diabetes,2017,2020,Questionnaire,None
2,DID250,How many times {have you/has SP} seen this doctor or other health professional in the past 12 months?,P_DIQ,Diabetes,2017,2020,Questionnaire,None
3,DID260,"How often {do you check your/does SP check his/her} blood for glucose or sugar? Include times when checked by a family member or friend, but do not include times when checked by a doctor or other health professional.",P_DIQ,Diabetes,2017,2020,Questionnaire,None
4,DID310D,What does {your/SP's} doctor or other health professional say {your/his/her} blood pressure should be?,P_DIQ,Diabetes,2017,2020,Questionnaire,None
5,DID310S,What does {your/SP's} doctor or other health professional say {your/his/her} blood pressure should be?,P_DIQ,Diabetes,2017,2020,Questionnaire,None
6,DID320,"One part of total serum cholesterol in {your/SP's} blood is a bad cholesterol, called LDL, which builds up and clogs {your/his/her} arteries. What was {your/his/her} most recent LDL cholesterol number?",P_DIQ,Diabetes,2017,2020,Questionnaire,None
7,DID330,What does {your/SP's} doctor or other health professional say {your/his/her} LDL cholesterol should be?,P_DIQ,Diabetes,2017,2020,Questionnaire,None
8,DID341,"During the past 12 months, about how many times has a doctor or other health professional checked {your/SP's} feet for any sores or irritations?",P_DIQ,Diabetes,2017,2020,Questionnaire,None
9,DID350,"How often {do you check your feet/does SP check (his/her) feet} for sores or irritations? Include times when checked by a family member or friend, but do not include times when checked by a doctor or other health professional.",P_DIQ,Diabetes,2017,2020,Questionnaire,None
10,DIQ010,"The next questions are about specific medical conditions. {Other than during pregnancy, {have you/has SP}/{Have you/Has SP}} ever been told by a doctor or health professional that {you have/{he/she/SP} has} diabetes or sugar diabetes?",P_DIQ,Diabetes,2017,2020,Questionnaire,None
11,DIQ050,{Is SP/Are you} now taking insulin,P_DIQ,Diabetes,2017,2020,Questionnaire,None
12,DIQ060U,UNIT OF MEASURE,P_DIQ,Diabetes,2017,2020,Questionnaire,None
13,DIQ070,{Is SP/Are you} now taking diabetic pills to lower {{his/her}/your} blood sugar? These are sometimes called oral agents or oral hypoglycemic agents.,P_DIQ,Diabetes,2017,2020,Questionnaire,None
14,DIQ080,Has a doctor ever told {you/SP} that diabetes has affected {your/his/her} eyes or that {you/s/he} had retinopathy (ret-in-op-ath-ee)?,P_DIQ,Diabetes,2017,2020,Questionnaire,None
15,DIQ160,"{Have you/Has SP} ever been told by a doctor or other health professional that {you have/SP has} any of the following: prediabetes, impaired fasting glucose, impaired glucose tolerance, borderline diabetes or that {your/her/his} blood sugar is higher than normal but not high enough to be called diabetes or sugar diabetes?",P_DIQ,Diabetes,2017,2020,Questionnaire,None
16,DIQ180,{Have you/Has SP} had a blood test for high blood sugar or diabetes within the past three years?,P_DIQ,Diabetes,2017,2020,Questionnaire,None
17,DIQ230,When was the last time {you/SP} saw a diabetes nurse educator or dietitian or nutritionist for {your/his/her} diabetes? Do not include doctors or other health professionals.,P_DIQ,Diabetes,2017,2020,Questionnaire,None
18,DIQ240,"Is there one doctor or other health professional {you usually see/SP usually sees} for {your/his/her} diabetes? Do not include specialists to whom {you have/SP has} been referred such as diabetes educators, dieticians or foot and eye doctors.",P_DIQ,Diabetes,2017,2020,Questionnaire,None
19,DIQ260U,"How often {do you check your/does SP check his/her} blood for glucose or sugar? Include times when checked by a family member or friend, but do not include times when checked by a doctor or other health professional.",P_DIQ,Diabetes,2017,2020,Questionnaire,None
20,DIQ275,"Glycosylated (GLY-KOH-SIH-LAY-TED) hemoglobin or the ""A one C"" test measures your average level of blood sugar for the past 3 months, and usually ranges between 5.0 and 13.9. During the past 12 months, has a doctor or other health professional checked {your/SP's} glycosylated hemoglobin or ""A one C""?",P_DIQ,Diabetes,2017,2020,Questionnaire,None
21,DIQ280,"What was {your/SP's} last ""A one C"" level?",P_DIQ,Diabetes,2017,2020,Questionnaire,None
22,DIQ291,"What does {your/SP's} doctor or other health professional say {your/his/her} ""A one C"" level should be? (Pick the lowest level recommended by your health care professional.)",P_DIQ,Diabetes,2017,2020,Questionnaire,None
23,DIQ300D,Blood pressure is usually given as one number over another. What was {your/SP's} most recent blood pressure in numbers?,P_DIQ,Diabetes,2017,2020,Questionnaire,None
24,DIQ300S,Blood pressure is usually given as one number over another. What was {your/SP's} most recent blood pressure in numbers?,P_DIQ,Diabetes,2017,2020,Questionnaire,None
25,DIQ350U,"How often {do you check your feet/does SP check (his/her) feet} for sores or irritations? Include times when checked by a family member or friend, but do not include times when checked by a doctor or other health professional.",P_DIQ,Diabetes,2017,2020,Questionnaire,None
26,DIQ360,When was the last time {you/SP} had an eye exam in which the pupils were dilated? This would have made {you/SP} temporarily sensitive to bright light.,P_DIQ,Diabetes,2017,2020,Questionnaire,None
27,SEQN,Respondent sequence number.,P_DIQ,Diabetes,2017,2020,Questionnaire,None
28,BPD035,How old {were you/was SP} when {you were/he/she was} first told that {you/he/she} had hypertension or high blood pressure?,P_BPQ,Blood Pressure & Cholesterol,2017,2020,Questionnaire,None
29,BPQ020,"{Have you/Has SP} ever been told by a doctor or other health professional that {you/s/he} had hypertension, also called high blood pressure?",P_BPQ,Blood Pressure & Cholesterol,2017,2020,Questionnaire,None
30,BPQ030,"{Were you/Was SP} told on 2 or more different visits that {you/s/he} had hypertension, also called high blood pressure?",P_BPQ,Blood Pressure & Cholesterol,2017,2020,Questionnaire,None
31,BPQ040A,"Because of {your/SP's} (high blood pressure/hypertension), {have you/has s/he} ever been told to . . . take prescribed medicine?",P_BPQ,Blood Pressure & Cholesterol,2017,2020,Questionnaire,None
32,BPQ050A,{Are you/Is SP} now taking prescribed medicine?,P_BPQ,Blood Pressure & Cholesterol,2017,2020,Questionnaire,None
33,BPQ060,{Have you/Has SP} ever had {your/his/her} blood cholesterol checked?,P_BPQ,Blood Pressure & Cholesterol,2017,2020,Questionnaire,None
34,BPQ070,About how long has it been since {you/SP} last had {your/his/her} blood cholesterol checked? Has it been...,P_BPQ,Blood Pressure & Cholesterol,2017,2020,Questionnaire,None
35,BPQ080,{Have you/Has SP} ever been told by a doctor or other health professional that {your/his/her} blood cholesterol level was high?,P_BPQ,Blood Pressure & Cholesterol,2017,2020,Questionnaire,None
36,BPQ090D,"[To lower (your/his/her) blood cholesterol, (have/has) (you/SP) ever been told by a doctor or other health professional]... to take prescribed medicine?",P_BPQ,Blood Pressure & Cholesterol,2017,2020,Questionnaire,None
37,BPQ100D,(Are you/Is SP) now following this advice to take prescribed medicine?,P_BPQ,Blood Pressure & Cholesterol,2017,2020,Questionnaire,None
38,SEQN,Respondent sequence number.,P_BPQ,Blood Pressure & Cholesterol,2017,2020,Questionnaire,None
39,OHQ030,"The next questions are about {your/SP's} teeth and gums. About how long has it been since {you/SP} last visited a dentist? Include all types of dentists, such as, orthodontists, oral surgeons, and all other dental specialists, as well as dental hygienists.",P_OHQ,Oral Health,2017,2020,Questionnaire,None
40,OHQ033,What was the main reason {you/SP} last visited the dentist?,P_OHQ,Oral Health,2017,2020,Questionnaire,None
41,OHQ555G,We would like you to think of the time when {SP} started brushing {his/her} teeth either with your help or alone. At what age did {SP} start brushing {his/her} teeth?,P_OHQ,Oral Health,2017,2020,Questionnaire,None
42,OHQ555Q,We would like you to think of the time when {SP} started brushing {his/her} teeth either with your help or alone. At what age did {SP} start brushing {his/her} teeth?,P_OHQ,Oral Health,2017,2020,Questionnaire,None
43,OHQ555U,We would like you to think of the time when {SP} started brushing {his/her} teeth either with your help or alone. At what age did {SP} start brushing {his/her} teeth?,P_OHQ,Oral Health,2017,2020,Questionnaire,None
44,OHQ560G,At what age did {SP} start using toothpaste?,P_OHQ,Oral Health,2017,2020,Questionnaire,None
45,OHQ560Q,At what age did {SP} start using toothpaste?,P_OHQ,Oral Health,2017,2020,Questionnaire,None
46,OHQ560U,At what age did {SP} start using toothpaste?,P_OHQ,Oral Health,2017,2020,Questionnaire,None
47,OHQ566,Has {SP} ever received prescription fluoride drops or fluoride tablets?,P_OHQ,Oral Health,2017,2020,Questionnaire,None
48,OHQ571Q,How old in months or years was {SP} when {he/she} started taking prescription fluoride drops or fluoride tablets?,P_OHQ,Oral Health,2017,2020,Questionnaire,None
49,OHQ571U,How old in months or years was {SP} when {he/she} started taking prescription fluoride drops or fluoride tablets?,P_OHQ,Oral Health,2017,2020,Questionnaire,None
50,OHQ576G,How old in months or years was {SP} when {he/she} stopped taking prescription fluoride drops or fluoride tablets?,P_OHQ,Oral Health,2017,2020,Questionnaire,None
51,OHQ576Q,How old in months or years was {SP} when {he/she} stopped taking prescription fluoride drops or fluoride tablets?,P_OHQ,Oral Health,2017,2020,Questionnaire,None
52,OHQ576U,How old in months or years was {SP} when {he/she} stopped taking prescription fluoride drops or fluoride tablets?,P_OHQ,Oral Health,2017,2020,Questionnaire,None
53,OHQ610,"In the past 12 months, did a dentist, hygienist or other dental professional have a direct conversation with {you/SP} about... ...the benefits of giving up cigarettes or other types of tobacco to improve {your/SP's} dental health?",P_OHQ,Oral Health,2017,2020,Questionnaire,None
54,OHQ612,"(In the past 12 months, did a dentist, hygienist or other dental professional have a direct conversation with {you/SP} about...) ... the dental health benefits of checking {your/his/her} blood sugar?",P_OHQ,Oral Health,2017,2020,Questionnaire,None
55,OHQ620,How often during the last year (have you/ has SP) had painful aching anywhere in (your/his/her) mouth? Would you say....,P_OHQ,Oral Health,2017,2020,Questionnaire,None
56,OHQ640,"How often during the last year {have you/has SP} had difficulty doing {your/his/her} usual jobs or attending school because of problems with {your/his/her} teeth, mouth or dentures? Would you say . . .",P_OHQ,Oral Health,2017,2020,Questionnaire,None
57,OHQ770,During the past 12 months was there a time when (you/SP) needed dental care but could not get it at that time?,P_OHQ,Oral Health,2017,2020,Questionnaire,None
58,OHQ780A,What were the reasons that (you/SP) could not get the dental care (you/she/he) needed?,P_OHQ,Oral Health,2017,2020,Questionnaire,None
59,OHQ780B,What were the reasons that (you/SP) could not get the dental care (you/she/he) needed?,P_OHQ,Oral Health,2017,2020,Questionnaire,None
60,OHQ780C,What were the reasons that (you/SP) could not get the dental care (you/she/he) needed?,P_OHQ,Oral Health,2017,2020,Questionnaire,None
61,OHQ780D,What were the reasons that (you/SP) could not get the dental care (you/she/he) needed?,P_OHQ,Oral Health,2017,2020,Questionnaire,None
